# Simulation 1 (Up to date)
# 110 data points written for 5 variables.
#
# Latitude (°),Longitude (°),Wind velocity (m/s),Air temperature (°C),Air pressure (mbar)
# Event IGNITION occurred at t=0 seconds
# Event LAUNCH occurred at t=0 seconds
28.61,-80.6,2.537,15,1013.25
28.61,-80.6,2.5,15,1013.25
28.61,-80.6,2.463,15,1013.25
28.61,-80.6,2.426,15,1013.25
28.61,-80.6,2.389,15,1013.25
28.61,-80.6,2.392,15,1013.25
28.61,-80.6,2.395,15,1013.25
28.61,-80.6,2.398,15,1013.25
28.61,-80.6,2.401,15,1013.25
28.61,-80.6,2.403,15,1013.25
28.61,-80.6,2.409,15,1013.25
28.61,-80.6,2.414,15,1013.25
28.61,-80.6,2.42,15,1013.249
28.61,-80.6,2.425,15,1013.249
28.61,-80.6,2.431,15,1013.248
# Event LIFTOFF occurred at t=0.16 seconds
28.61,-80.6,2.436,15,1013.247
28.61,-80.6,2.442,15,1013.246
28.61,-80.6,2.447,15,1013.244
28.61,-80.6,2.452,15,1013.241
28.61,-80.6,2.458,14.999,1013.238
28.61,-80.6,2.443,14.999,1013.235
28.61,-80.6,2.429,14.999,1013.23
28.61,-80.6,2.414,14.999,1013.225
28.61,-80.6,2.4,14.998,1013.22
28.61,-80.6,2.385,14.998,1013.213
28.61,-80.6,2.371,14.998,1013.205
28.61,-80.6,2.356,14.997,1013.197
28.61,-80.6,2.342,14.997,1013.187
28.61,-80.6,2.327,14.996,1013.176
28.61,-80.6,2.313,14.995,1013.164
28.61,-80.6,2.311,14.995,1013.152
28.61,-80.6,2.309,14.994,1013.14
# Event LAUNCHROD occurred at t=0.326 seconds
28.61,-80.6,2.308,14.993,1013.128
28.61,-80.6,2.306,14.992,1013.109
28.61,-80.6,2.296,14.99,1013.079
28.61,-80.6,2.265,14.988,1013.029
28.61,-80.6,2.23,14.983,1012.952
28.61,-80.6,2.207,14.979,1012.876
28.61,-80.6,2.188,14.975,1012.799
28.61,-80.6,2.095,14.97,1012.715
28.61,-80.6,2.015,14.964,1012.609
# Event BURNOUT occurred at t=0.62 seconds
28.61,-80.6,2.019,14.958,1012.501
28.61,-80.6,2.029,14.952,1012.386
28.61,-80.6,1.981,14.946,1012.274
28.61,-80.6,1.955,14.94,1012.165
28.61,-80.6,1.911,14.934,1012.06
28.61,-80.6,1.9,14.929,1011.96
28.61,-80.6,1.935,14.923,1011.865
28.61,-80.6,1.886,14.918,1011.769
28.61,-80.6,1.836,14.913,1011.677
28.61,-80.6,1.811,14.908,1011.587
28.61,-80.6,1.919,14.903,1011.501
28.61,-80.6,1.968,14.898,1011.417
28.61,-80.6,1.931,14.894,1011.337
28.61,-80.6,2.006,14.89,1011.26
28.61,-80.6,1.988,14.886,1011.186
28.61,-80.6,1.937,14.882,1011.115
28.61,-80.6,1.918,14.878,1011.047
28.61,-80.6,1.981,14.874,1010.982
28.61,-80.6,1.99,14.871,1010.92
28.61,-80.6,1.946,14.868,1010.861
28.61,-80.6,1.887,14.864,1010.804
28.61,-80.6,1.932,14.862,1010.751
28.61,-80.6,2.032,14.859,1010.701
28.61,-80.6,2.025,14.856,1010.654
28.61,-80.6,2.073,14.854,1010.61
28.61,-80.6,2.131,14.851,1010.568
28.61,-80.6,2.041,14.849,1010.53
28.61,-80.6,1.996,14.847,1010.494
28.61,-80.6,1.955,14.845,1010.462
28.61,-80.6,1.949,14.844,1010.432
28.61,-80.6,1.878,14.842,1010.405
28.61,-80.6,1.925,14.841,1010.381
28.61,-80.6,2.012,14.84,1010.36
28.61,-80.6,2.02,14.839,1010.342
28.61,-80.6,1.986,14.838,1010.326
28.61,-80.6,2.032,14.837,1010.314
28.61,-80.6,2.032,14.837,1010.304
28.61,-80.6,1.983,14.836,1010.298
28.61,-80.6,2.021,14.836,1010.294
# Event APOGEE occurred at t=2.567 seconds
28.61,-80.6,2.083,14.836,1010.293
28.61,-80.6,2.206,14.836,1010.295
28.61,-80.6,2.36,14.836,1010.299
28.61,-80.6,2.463,14.837,1010.307
28.61,-80.6,2.588,14.837,1010.317
28.61,-80.6,2.562,14.838,1010.331
28.61,-80.6,2.554,14.839,1010.347
28.61,-80.6,2.566,14.84,1010.366
28.61,-80.6,2.609,14.841,1010.388
28.61,-80.6,2.589,14.843,1010.412
28.61,-80.6,2.544,14.844,1010.44
28.61,-80.6,2.456,14.846,1010.47
28.61,-80.6,2.317,14.848,1010.503
28.61,-80.6,2.22,14.85,1010.539
28.61,-80.6,2.112,14.852,1010.578
28.61,-80.6,1.942,14.854,1010.619
28.61,-80.6,1.904,14.857,1010.663
28.61,-80.6,1.869,14.859,1010.701
28.61,-80.6,1.936,14.861,1010.736
28.61,-80.6,1.993,14.863,1010.773
28.61,-80.6,2.004,14.865,1010.811
28.61,-80.6,1.963,14.867,1010.85
28.61,-80.6,2.068,14.869,1010.891
# Event EJECTION_CHARGE occurred at t=3.62 seconds
28.61,-80.6,2.111,14.871,1010.928
# Event RECOVERY_DEVICE_DEPLOYMENT occurred at t=3.621 seconds
28.61,-80.6,2.111,14.871,1010.931
28.61,-80.6,2.111,14.871,1010.931
28.61,-80.6,2.112,14.872,1010.933
28.61,-80.6,1.709,14.906,1011.546
28.61,-80.6,2.234,14.942,1012.207
# Event GROUND_HIT occurred at t=4.929 seconds
# Event SIMULATION_END occurred at t=4.929 seconds
28.61,-80.6,2.08,14.98,1012.897
